ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;ACCOUNT_NUMBER;ACCOUNT_NAME;CASH_TYPE;CASH_CURRENCY;CASH_RATE;MATURITY_DATE;AMOUNT_CASH_CCY;AMOUNT_CPT_CCY;AMOUNT_EUR;VALUATION_DATE;EUR_FX_RATE;FX_RATE_DATE;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;12100;Constitution fee;Frais;USD;0;;6924.32;6924.32;5891.531919;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;USD;0;;77042.75;77042.8;65551.537302;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;SEK;0;;25286.84;2901.1;2468.388365;;.097616;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;NOK;0;;28073.52;3288.7;2798.180736;;.099673;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;JPY;0;;4644514;42031.78;35762.582287;;.0077;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;HKD;0;;729.22;93.8;79.806954;;.109442;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;GBP;0;;3006.02;4147.41;3528.805732;;1.173913;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;EUR;0;;302479.08;355503.67;302479.08;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;DKK;0;;6628.74;1047.53;891.290027;;.134458;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;CHF;0;;197398.2;209741.48;178457.763707;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;CAD;0;;44753.44;35607.6;30296.593294;;.676967;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15000;Current account;Compte courant;AUD;0;;6442.53;4906.95;4175.063286;;.648047;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15100;Call Deposit 48 hours;Dépôt;USD;.13;;680000;680000;578575.470965;03/02/2021;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;15100;Call Deposit 48 hours;Dépôt;USD;.15;;1630000;1630000;1386879.437753;26/02/2021;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;21100;Provision audit fees;Provisions;USD;0;;-4046.26;-4046.26;-3442.745272;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;21102;Prov Audit Annual report;Provisions;USD;0;;-594.26;-594.26;-505.623911;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;21280;Provis/paiemt audit fees ant;Provisions;USD;0;;-286.9;-286.9;-244.107798;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;26400;Crystallised Perf.;Frais;CHF;0;;-9.26;-9.84;-8.371499;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22145;Prov Admin Hedging fees;Provisions;EUR;0;;-2916.34;-3427.57;-2916.34;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22145;Prov Admin Hedging fees;Provisions;CHF;0;;-1706.25;-1812.94;-1542.53463;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22146;Prov Fees for calcul. of perf.;Provisions;USD;0;;-742.83;-742.83;-632.034143;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22187;Provision Deposit supervi duty;Provisions;USD;0;;-2693.24;-2693.24;-2291.533237;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22100;Provision custody fee;Provisions;USD;0;;-9452.37;-9452.37;-8042.51386;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22100;Provision custody fee;Provisions;EUR;0;;-3421.83;-4021.68;-3421.83;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22100;Provision custody fee;Provisions;CHF;0;;-2006.45;-2131.91;-1813.930319;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22111;Provision Domiciliation fees;Provisions;USD;0;;-1595.02;-1595.02;-1357.116835;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22120;Provision administration fee;Provisions;USD;0;;-12484.39;-12484.39;-10622.2968;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22120;Provision administration fee;Provisions;EUR;0;;-4518.92;-5311.09;-4518.92;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22120;Provision administration fee;Provisions;CHF;0;;-2649.82;-2815.51;-2395.56871;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22160;Provision Management Company;Provisions;USD;0;;-12434.42;-12434.42;-10579.780011;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22160;Provision Management Company;Provisions;EUR;0;;-4495.57;-5283.64;-4495.57;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22160;Provision Management Company;Provisions;CHF;0;;-2637.92;-2802.87;-2384.81052;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22210;Provision Mgt Institutional;Provisions;USD;0;;-53098.16;-53098.16;-45178.371955;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22210;Provision Mgt Institutional;Provisions;EUR;0;;-32137.26;-37770.92;-32137.26;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22210;Provision Mgt Institutional;Provisions;CHF;0;;-25592.96;-27193.28;-23137.305245;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22230;Provision Mgt Retail;Provisions;USD;0;;-76288.33;-76288.33;-64909.641851;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22449;Provision Mgt fees A1;Provisions;USD;0;;-7834.17;-7834.17;-6665.674408;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22449;Provision Mgt fees A1;Provisions;EUR;0;;-23215.65;-27285.35;-23215.65;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;23100;Provis. taxe d'abonnemt 0.05 %;Provisions;USD;0;;-4824.75;-4824.75;-4105.120593;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;23100;Provis. taxe d'abonnemt 0.05 %;Provisions;EUR;0;;-808.37;-950.08;-808.37;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;23105;Provis. taxe d'abonnemt 0.01 %;Provisions;USD;0;;-727.73;-727.73;-619.186364;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;23105;Provis. taxe d'abonnemt 0.01 %;Provisions;EUR;0;;-492.11;-578.38;-492.11;;1;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;23105;Provis. taxe d'abonnemt 0.01 %;Provisions;CHF;0;;-357.8;-380.17;-323.468947;;.90405;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22773;Provision Mgt fees I2U;Provisions;USD;0;;-742.83;-742.83;-632.034143;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;22772;Provision Mgt fees I2P;Provisions;USD;0;;-297.15;-297.15;-252.828972;;.850846;31/03/2021;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;21255;Prov. research fees;Provisions;USD;0;;-14942.47;-14942.47;-12713.745026;;.850846;31/03/2021;N;31/03/2021
